9546321555	452-XLY	2	70.82	11	15.5804	141.64	157.22
9546321555	742-6Z3	300	10.14	6	182.52	3042	3224.52
5612971340	924-YUT	8	23	7	12.88	184	196.88
3051234567	9L3-11T	47	50.12	8	188.451	2355.64	2544.09
7542346622	453-TTT	92	25.25	7	162.61	2323	2485.61
3054432762	213-ABC	15	105.02	8	126.024	1575.3	1701.32
9544321011	321-XMZ	112	32.41	7	254.094	3629.92	3884.01
8776219988	444-SSS	100	12.12	7	84.84	1212	1296.84
9042224556	290-P23	297	9.62	9	257.143	2857.14	3114.28
7877176590	23Z-00Q	32	9.62	9	27.7056	307.84	335.546
5617278899	893-42T	642	0.81	7	36.4014	520.02	556.421
9546321555	008-LL5	90	45.8	6	247.32	4122	4369.32
5612971340	452-XLY	42	99.99	11	461.954	4199.58	4661.53
3051234567	742-6Z3	14	10.14	6	8.5176	141.96	150.478
7542346622	742-6Z4	13	66.48	6	51.8544	864.24	916.094
3054432762	742-6Z5	209	0.77	6	9.6558	160.93	170.586
9544321011	742-6Z6	108	1.17	6	7.5816	126.36	133.942
8776219988	213-ABC	67	105.02	8	562.907	7036.34	7599.25
9042224556	321-XMZ	500	32.41	7	1134.35	16205	17339.3
7877176590	444-SSS	43	12.12	7	36.4812	521.16	557.641
5617278899	290-P23	16	9.92	9	14.2848	158.72	173.005
8776219988	23Z-00Q	82	9.62	9	70.9956	788.84	859.836
9042224556	23Z-00Q	87	9.62	9	75.3246	836.94	912.265
7877176590	23Z-00Q	445	9.62	9	385.281	4280.9	4666.18
